source_id,total_score,percentile_rank,latent_distance,candidate_type,feature_flags,error_ra,error_dec,error_parallax,error_parallax_error,error_pmra,error_pmdec,error_radial_velocity,error_radial_velocity_error,error_ruwe,error_astrometric_excess_noise,error_astrometric_excess_noise_sig,error_ipd_frac_multi_peak,error_ipd_gof_harmonic_amplitude,error_visibility_periods_used,error_non_single_star,error_duplicated_source,error_distance,error_tangential_velocity,error_total_velocity
13716411852095744,0.7000,94.17,0.0000,astrometric_binary,ra|dec|parallax|parallax_error|pmra|pmdec|radial_velocity_error|ruwe|astrometric_excess_noise|astrometric_excess_noise_sig|ipd_frac_multi_peak|ipd_gof_harmonic_amplitude|visibility_periods_used|non_single_star|duplicated_source|tangential_velocity|total_velocity,7.7879,14.5944,60.1075,4.5152,2.0330,8.8099,0.3008,15.9744,63.6779,84.5311,331.4573,0.3606,1.8856,346.6893,69.0371,16.7778,0.7383,28.6814,10.3284
14409069817967360,0.7000,94.17,0.0000,astrometric_binary,ra|dec|parallax|parallax_error|pmra|pmdec|radial_velocity_error|ruwe|astrometric_excess_noise|astrometric_excess_noise_sig|ipd_frac_multi_peak|ipd_gof_harmonic_amplitude|visibility_periods_used|non_single_star|duplicated_source|distance|tangential_velocity|total_velocity,10.4261,20.5755,81.8877,6.5036,2.0978,11.6350,1.4523,17.9417,46.9025,119.7799,483.4727,11.0195,2.5201,490.9339,96.9255,23.7426,4.1849,43.0376,17.5033
14528366829579264,0.7000,94.17,0.0000,astrometric_binary,parallax|parallax_error|astrometric_excess_noise|astrometric_excess_noise_sig|ipd_frac_multi_peak|visibility_periods_used|non_single_star,0.9439,0.9226,3.3006,0.4724,0.7757,0.4490,0.3826,0.6309,0.1450,5.0666,8.8098,174.9501,0.0837,11.9330,2.3740,0.0966,1.3615,0.9432,0.8683
15287304730552832,0.7000,94.17,0.0000,astrometric_binary,dec|parallax|parallax_error|ruwe|astrometric_excess_noise|astrometric_excess_noise_sig|ipd_frac_multi_peak|ipd_gof_harmonic_amplitude|visibility_periods_used|non_single_star|duplicated_source|distance|tangential_velocity|total_velocity,0.8679,3.4742,9.0400,1.4106,0.9464,0.2136,0.2867,4.2637,19.4384,16.1774,92.7231,88.8554,0.2498,42.1134,11.5230,3.2264,3.5764,4.7528,2.0363
15292458691567616,0.7000,94.17,0.0000,astrometric_binary,ra|dec|parallax|parallax_error|pmra|pmdec|radial_velocity_error|ruwe|astrometric_excess_noise|astrometric_excess_noise_sig|ipd_frac_multi_peak|ipd_gof_harmonic_amplitude|visibility_periods_used|non_single_star|duplicated_source|distance|tangential_velocity|total_velocity,5.9894,20.0170,72.2649,7.4201,2.4395,8.5815,0.8592,14.4693,53.5478,109.0853,560.7711,125.8320,1.9884,421.1964,85.1864,21.6570,6.3077,35.6635,14.0274
16262434105498496,0.7000,94.17,0.0000,astrometric_binary,ra|parallax|parallax_error|pmdec|ruwe|astrometric_excess_noise|astrometric_excess_noise_sig|ipd_frac_multi_peak|ipd_gof_harmonic_amplitude|visibility_periods_used|non_single_star|duplicated_source|tangential_velocity|total_velocity,1.9242,1.8038,8.2928,1.1813,1.0485,4.3659,0.9371,0.9649,14.1884,10.9490,87.7104,192.5507,0.7272,32.0705,5.3576,0.3892,1.6950,5.3101,1.8408
10827784352321280,0.7000,94.17,0.0000,quality_issue,astrometric_excess_noise|astrometric_excess_noise_sig|ipd_frac_multi_peak|non_single_star,0.8000,0.6953,1.1113,0.0204,1.1773,0.6800,0.0905,0.2008,0.2492,1.5162,2.6407,65.2483,0.0434,1.4426,0.6511,0.0604,0.5852,0.5471,0.2844
11210418694164864,0.7000,94.17,0.0000,astrometric_binary,ra|dec|parallax|parallax_error|pmra|pmdec|radial_velocity|radial_velocity_error|ruwe|astrometric_excess_noise|astrometric_excess_noise_sig|ipd_frac_multi_peak|ipd_gof_harmonic_amplitude|visibility_periods_used|non_single_star|duplicated_source|distance|tangential_velocity|total_velocity,44.0704,89.1826,356.2623,29.3720,5.4402,56.5967,3.3465,64.0195,152.6620,516.3984,2169.9707,46.5929,10.0788,2135.4414,415.0312,102.1902,12.5496,182.0931,73.6386
11353728867731712,0.7000,94.17,0.0000,quality_issue,ruwe|astrometric_excess_noise|astrometric_excess_noise_sig|ipd_frac_multi_peak|visibility_periods_used|non_single_star,1.2176,0.8989,1.3359,0.1010,1.0752,0.4557,0.1341,0.3569,2.0515,2.1109,9.2120,69.2099,0.0151,1.4683,0.9537,0.0487,0.9326,0.6325,0.3770
12002372008050944,0.7000,94.17,0.0000,astrometric_binary,ra|parallax|parallax_error|ruwe|astrometric_excess_noise|astrometric_excess_noise_sig|ipd_frac_multi_peak|ipd_gof_harmonic_amplitude|visibility_periods_used|non_single_star|duplicated_source,2.1749,1.1147,5.2416,0.2263,1.1230,1.1362,0.4364,0.2230,2.1421,4.8236,33.4978,69.0085,0.3413,7.6808,2.4146,0.2923,0.2502,0.3832,0.8684
